gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,math_score_sqrt,reading_score_sqrt,writing_score_sqrt
female,group B,some college,standard,none,63,65,61,7.937253933193772,8.06225774829855,7.810249675906654
female,group E,master's degree,free/reduced,none,56,72,65,7.483314773547883,8.48528137423857,8.06225774829855
male,group D,some college,standard,none,40,42,38,6.324555320336759,6.48074069840786,6.164414002968976
male,group E,some college,standard,none,97,87,82,9.848857801796104,9.327379053088816,9.055385138137417
male,group E,associate's degree,standard,completed,81,81,79,9.0,9.0,8.888194417315589
female,group D,associate's degree,standard,none,74,81,83,8.602325267042627,9.0,9.1104335791443
female,group D,some high school,free/reduced,none,50,64,59,7.0710678118654755,8.0,7.681145747868608
female,group D,associate's degree,free/reduced,completed,75,90,88,8.660254037844387,9.486832980505138,9.38083151964686
male,group B,associate's degree,free/reduced,none,57,56,57,7.54983443527075,7.483314773547883,7.54983443527075
male,group C,associate's degree,free/reduced,none,55,61,54,7.416198487095663,7.810249675906654,7.3484692283495345
female,group C,associate's degree,standard,none,58,73,68,7.615773105863909,8.54400374531753,8.246211251235321
female,group B,associate's degree,standard,none,53,58,65,7.280109889280518,7.615773105863909,8.06225774829855
male,group B,some college,free/reduced,completed,59,65,66,7.681145747868608,8.06225774829855,8.12403840463596
female,group E,associate's degree,free/reduced,none,50,56,54,7.0710678118654755,7.483314773547883,7.3484692283495345
male,group B,associate's degree,standard,none,65,54,57,8.06225774829855,7.3484692283495345,7.54983443527075
female,group A,associate's degree,standard,completed,55,65,62,7.416198487095663,8.06225774829855,7.874007874011811
female,group C,high school,standard,none,66,71,76,8.12403840463596,8.426149773176359,8.717797887081348
female,group D,associate's degree,free/reduced,completed,57,74,76,7.54983443527075,8.602325267042627,8.717797887081348
male,group C,high school,standard,completed,82,84,82,9.055385138137417,9.16515138991168,9.055385138137417
male,group E,some college,standard,none,53,55,48,7.280109889280518,7.416198487095663,6.928203230275509
male,group E,associate's degree,free/reduced,completed,77,69,68,8.774964387392123,8.306623862918075,8.246211251235321
male,group C,some college,standard,none,53,44,42,7.280109889280518,6.6332495807108,6.48074069840786
male,group D,high school,standard,none,88,78,75,9.38083151964686,8.831760866327848,8.660254037844387
female,group C,some high school,free/reduced,completed,71,84,87,8.426149773176359,9.16515138991168,9.327379053088816
female,group C,high school,free/reduced,none,33,41,43,5.744562646538029,6.4031242374328485,6.557438524302
female,group E,associate's degree,standard,completed,82,85,86,9.055385138137417,9.219544457292887,9.273618495495704
male,group D,associate's degree,standard,none,52,55,49,7.211102550927978,7.416198487095663,7.0
male,group D,some college,standard,completed,58,59,58,7.615773105863909,7.681145747868608,7.615773105863909
female,group C,some high school,free/reduced,none,0,17,10,0.0,4.123105625617661,3.1622776601683795
male,group E,bachelor's degree,free/reduced,completed,79,74,72,8.888194417315589,8.602325267042627,8.48528137423857
male,group A,some high school,free/reduced,none,39,39,34,6.244997998398398,6.244997998398398,5.830951894845301
male,group A,associate's degree,free/reduced,none,62,61,55,7.874007874011811,7.810249675906654,7.416198487095663
female,group C,associate's degree,standard,none,69,80,71,8.306623862918075,8.94427190999916,8.426149773176359
female,group D,some high school,standard,none,59,58,59,7.681145747868608,7.615773105863909,7.681145747868608
male,group B,some high school,standard,none,67,64,61,8.18535277187245,8.0,7.810249675906654
male,group D,some high school,free/reduced,none,45,37,37,6.708203932499369,6.082762530298219,6.082762530298219
female,group C,some college,standard,none,60,72,74,7.745966692414834,8.48528137423857,8.602325267042627
male,group B,associate's degree,free/reduced,none,61,58,56,7.810249675906654,7.615773105863909,7.483314773547883
female,group C,associate's degree,standard,none,39,64,57,6.244997998398398,8.0,7.54983443527075
female,group D,some college,free/reduced,completed,58,63,73,7.615773105863909,7.937253933193772,8.54400374531753
male,group D,some college,standard,completed,63,55,63,7.937253933193772,7.416198487095663,7.937253933193772
female,group A,associate's degree,free/reduced,none,41,51,48,6.4031242374328485,7.14142842854285,6.928203230275509
male,group C,some high school,free/reduced,none,61,57,56,7.810249675906654,7.54983443527075,7.483314773547883
male,group C,some high school,standard,none,49,49,41,7.0,7.0,6.4031242374328485
male,group B,associate's degree,free/reduced,none,44,41,38,6.6332495807108,6.4031242374328485,6.164414002968976
male,group E,some high school,standard,none,30,26,22,5.477225575051661,5.0990195135927845,4.69041575982343
male,group A,bachelor's degree,standard,completed,80,78,81,8.94427190999916,8.831760866327848,9.0
female,group D,some high school,standard,completed,61,74,72,7.810249675906654,8.602325267042627,8.48528137423857
female,group E,master's degree,standard,none,62,68,68,7.874007874011811,8.246211251235321,8.246211251235321
female,group B,associate's degree,standard,none,47,49,50,6.855654600401044,7.0,7.0710678118654755
male,group B,high school,free/reduced,none,49,45,45,7.0,6.708203932499369,6.708203932499369
male,group A,some college,free/reduced,completed,50,47,54,7.0710678118654755,6.855654600401044,7.3484692283495345
male,group E,associate's degree,standard,none,72,64,63,8.48528137423857,8.0,7.937253933193772
male,group D,high school,free/reduced,none,42,39,34,6.48074069840786,6.244997998398398,5.830951894845301
female,group C,some college,standard,none,73,80,82,8.54400374531753,8.94427190999916,9.055385138137417
female,group C,some college,free/reduced,none,76,83,88,8.717797887081348,9.1104335791443,9.38083151964686
female,group D,associate's degree,standard,none,71,71,74,8.426149773176359,8.426149773176359,8.602325267042627
female,group A,some college,standard,none,58,70,67,7.615773105863909,8.366600265340756,8.18535277187245
female,group D,some high school,standard,none,73,86,82,8.54400374531753,9.273618495495704,9.055385138137417
female,group C,bachelor's degree,standard,none,65,72,74,8.06225774829855,8.48528137423857,8.602325267042627
male,group C,high school,free/reduced,none,27,34,36,5.196152422706632,5.830951894845301,6.0
male,group C,high school,standard,none,71,79,71,8.426149773176359,8.888194417315589,8.426149773176359
male,group C,associate's degree,free/reduced,completed,43,45,50,6.557438524302,6.708203932499369,7.0710678118654755
female,group B,some college,standard,none,79,86,92,8.888194417315589,9.273618495495704,9.591663046625438
male,group C,associate's degree,free/reduced,completed,78,81,82,8.831760866327848,9.0,9.055385138137417
male,group B,some high school,standard,completed,65,66,62,8.06225774829855,8.12403840463596,7.874007874011811
female,group E,some college,standard,completed,63,72,70,7.937253933193772,8.48528137423857,8.366600265340756
female,group D,some college,free/reduced,none,58,67,62,7.615773105863909,8.18535277187245,7.874007874011811
female,group D,bachelor's degree,standard,none,65,67,62,8.06225774829855,8.18535277187245,7.874007874011811
male,group B,some college,standard,none,79,67,67,8.888194417315589,8.18535277187245,8.18535277187245
male,group D,bachelor's degree,standard,completed,68,74,74,8.246211251235321,8.602325267042627,8.602325267042627
female,group D,associate's degree,standard,none,85,91,89,9.219544457292887,9.539392014169456,9.433981132056603
male,group B,high school,standard,completed,60,44,47,7.745966692414834,6.6332495807108,6.855654600401044
male,group C,some college,standard,completed,98,86,90,9.899494936611665,9.273618495495704,9.486832980505138
female,group C,some college,standard,none,58,67,72,7.615773105863909,8.18535277187245,8.48528137423857
female,group D,master's degree,standard,none,87,100,100,9.327379053088816,10.0,10.0
male,group E,associate's degree,standard,completed,66,63,64,8.12403840463596,7.937253933193772,8.0
female,group B,associate's degree,free/reduced,none,52,76,70,7.211102550927978,8.717797887081348,8.366600265340756
female,group B,some high school,standard,none,70,64,72,8.366600265340756,8.0,8.48528137423857
female,group D,associate's degree,free/reduced,completed,77,89,98,8.774964387392123,9.433981132056603,9.899494936611665
male,group C,high school,standard,none,62,55,49,7.874007874011811,7.416198487095663,7.0
male,group A,associate's degree,standard,none,54,53,47,7.3484692283495345,7.280109889280518,6.855654600401044
female,group D,some college,standard,none,51,58,54,7.14142842854285,7.615773105863909,7.3484692283495345
female,group E,bachelor's degree,standard,completed,99,100,100,9.9498743710662,10.0,10.0
male,group C,high school,standard,none,84,77,74,9.16515138991168,8.774964387392123,8.602325267042627
female,group B,bachelor's degree,free/reduced,none,75,85,82,8.660254037844387,9.219544457292887,9.055385138137417
female,group D,bachelor's degree,standard,none,78,82,79,8.831760866327848,9.055385138137417,8.888194417315589
female,group D,some high school,standard,none,51,63,61,7.14142842854285,7.937253933193772,7.810249675906654
female,group C,some college,standard,none,55,69,65,7.416198487095663,8.306623862918075,8.06225774829855
female,group C,bachelor's degree,standard,completed,79,92,89,8.888194417315589,9.591663046625438,9.433981132056603
male,group B,associate's degree,standard,completed,91,89,92,9.539392014169456,9.433981132056603,9.591663046625438
female,group C,some college,standard,completed,88,93,93,9.38083151964686,9.643650760992955,9.643650760992955
male,group D,high school,free/reduced,none,63,57,56,7.937253933193772,7.54983443527075,7.483314773547883
male,group E,some college,standard,none,83,80,73,9.1104335791443,8.94427190999916,8.54400374531753
female,group B,high school,standard,none,87,95,86,9.327379053088816,9.746794344808963,9.273618495495704
male,group B,some high school,standard,none,72,68,67,8.48528137423857,8.246211251235321,8.18535277187245
male,group D,some college,standard,completed,65,77,74,8.06225774829855,8.774964387392123,8.602325267042627
male,group D,master's degree,standard,none,82,82,74,9.055385138137417,9.055385138137417,8.602325267042627
female,group A,bachelor's degree,standard,none,51,49,51,7.14142842854285,7.0,7.14142842854285
male,group D,master's degree,standard,none,89,84,82,9.433981132056603,9.16515138991168,9.055385138137417
male,group C,some high school,free/reduced,completed,53,37,40,7.280109889280518,6.082762530298219,6.324555320336759
male,group E,some college,free/reduced,completed,87,74,70,9.327379053088816,8.602325267042627,8.366600265340756
female,group C,some college,standard,completed,75,81,84,8.660254037844387,9.0,9.16515138991168
male,group D,bachelor's degree,free/reduced,completed,74,79,75,8.602325267042627,8.888194417315589,8.660254037844387
male,group C,bachelor's degree,standard,none,58,55,48,7.615773105863909,7.416198487095663,6.928203230275509
male,group B,some high school,standard,completed,51,54,41,7.14142842854285,7.3484692283495345,6.4031242374328485
male,group E,high school,standard,none,70,55,56,8.366600265340756,7.416198487095663,7.483314773547883
female,group C,associate's degree,standard,none,59,66,67,7.681145747868608,8.12403840463596,8.18535277187245
male,group D,some college,standard,completed,71,61,69,8.426149773176359,7.810249675906654,8.306623862918075
female,group D,some high school,standard,none,76,72,71,8.717797887081348,8.48528137423857,8.426149773176359
female,group C,some college,free/reduced,none,59,62,64,7.681145747868608,7.874007874011811,8.0
female,group E,some college,free/reduced,completed,42,55,54,6.48074069840786,7.416198487095663,7.3484692283495345
male,group A,high school,standard,none,57,43,47,7.54983443527075,6.557438524302,6.855654600401044
male,group D,some college,standard,none,88,73,78,9.38083151964686,8.54400374531753,8.831760866327848
female,group C,some college,free/reduced,none,22,39,33,4.69041575982343,6.244997998398398,5.744562646538029
male,group B,some high school,standard,none,88,84,75,9.38083151964686,9.16515138991168,8.660254037844387
male,group C,associate's degree,free/reduced,none,73,68,66,8.54400374531753,8.246211251235321,8.12403840463596
female,group D,bachelor's degree,standard,completed,68,75,81,8.246211251235321,8.660254037844387,9.0
male,group E,associate's degree,free/reduced,completed,100,100,93,10.0,10.0,9.643650760992955
male,group A,some high school,standard,completed,62,67,69,7.874007874011811,8.18535277187245,8.306623862918075
male,group A,bachelor's degree,standard,none,77,67,68,8.774964387392123,8.18535277187245,8.246211251235321
female,group B,associate's degree,standard,completed,59,70,66,7.681145747868608,8.366600265340756,8.12403840463596
male,group D,bachelor's degree,standard,none,54,49,47,7.3484692283495345,7.0,6.855654600401044
male,group D,some high school,standard,none,62,67,61,7.874007874011811,8.18535277187245,7.810249675906654
female,group C,some college,standard,completed,70,89,88,8.366600265340756,9.433981132056603,9.38083151964686
female,group E,high school,free/reduced,completed,66,74,78,8.12403840463596,8.602325267042627,8.831760866327848
male,group B,some college,free/reduced,none,60,60,60,7.745966692414834,7.745966692414834,7.745966692414834
female,group B,associate's degree,standard,completed,61,86,87,7.810249675906654,9.273618495495704,9.327379053088816
male,group D,associate's degree,free/reduced,none,66,62,64,8.12403840463596,7.874007874011811,8.0
male,group B,associate's degree,free/reduced,completed,82,78,74,9.055385138137417,8.831760866327848,8.602325267042627
female,group E,some college,free/reduced,completed,75,88,85,8.660254037844387,9.38083151964686,9.219544457292887
male,group B,master's degree,free/reduced,none,49,53,52,7.0,7.280109889280518,7.211102550927978
male,group C,high school,standard,none,52,53,49,7.211102550927978,7.280109889280518,7.0
female,group E,master's degree,standard,none,81,92,91,9.0,9.591663046625438,9.539392014169456
female,group C,bachelor's degree,standard,completed,96,100,100,9.797958971132712,10.0,10.0
male,group C,high school,free/reduced,completed,53,51,51,7.280109889280518,7.14142842854285,7.14142842854285
female,group B,master's degree,free/reduced,completed,58,76,78,7.615773105863909,8.717797887081348,8.831760866327848
female,group B,high school,standard,completed,68,83,78,8.246211251235321,9.1104335791443,8.831760866327848
female,group C,some college,free/reduced,completed,67,75,70,8.18535277187245,8.660254037844387,8.366600265340756
male,group A,high school,standard,completed,72,73,74,8.48528137423857,8.54400374531753,8.602325267042627
male,group E,some high school,standard,none,94,88,78,9.695359714832659,9.38083151964686,8.831760866327848
female,group D,some college,standard,none,79,86,81,8.888194417315589,9.273618495495704,9.0
female,group C,associate's degree,standard,none,63,67,70,7.937253933193772,8.18535277187245,8.366600265340756
female,group C,bachelor's degree,free/reduced,completed,43,51,54,6.557438524302,7.14142842854285,7.3484692283495345
female,group C,master's degree,standard,completed,81,91,87,9.0,9.539392014169456,9.327379053088816
female,group B,high school,free/reduced,completed,46,54,58,6.782329983125268,7.3484692283495345,7.615773105863909
female,group C,associate's degree,standard,completed,71,77,77,8.426149773176359,8.774964387392123,8.774964387392123
female,group B,master's degree,free/reduced,completed,52,70,62,7.211102550927978,8.366600265340756,7.874007874011811
female,group D,some high school,standard,completed,97,100,100,9.848857801796104,10.0,10.0
male,group C,master's degree,free/reduced,completed,62,68,75,7.874007874011811,8.246211251235321,8.660254037844387
female,group C,some college,free/reduced,none,46,64,66,6.782329983125268,8.0,8.12403840463596
female,group E,high school,standard,none,50,50,47,7.0710678118654755,7.0710678118654755,6.855654600401044
female,group D,associate's degree,standard,none,65,69,70,8.06225774829855,8.306623862918075,8.366600265340756
male,group C,some high school,free/reduced,completed,45,52,49,6.708203932499369,7.211102550927978,7.0
male,group C,associate's degree,free/reduced,completed,65,67,65,8.06225774829855,8.18535277187245,8.06225774829855
male,group E,high school,standard,none,80,76,65,8.94427190999916,8.717797887081348,8.06225774829855
male,group D,some high school,standard,completed,62,66,68,7.874007874011811,8.12403840463596,8.246211251235321
male,group B,some high school,free/reduced,none,48,52,45,6.928203230275509,7.211102550927978,6.708203932499369
female,group C,bachelor's degree,standard,none,77,88,87,8.774964387392123,9.38083151964686,9.327379053088816
female,group E,associate's degree,standard,none,66,65,69,8.12403840463596,8.06225774829855,8.306623862918075
male,group D,some college,standard,completed,76,83,79,8.717797887081348,9.1104335791443,8.888194417315589
female,group B,some high school,standard,none,62,64,66,7.874007874011811,8.0,8.12403840463596
male,group D,some college,standard,completed,77,62,62,8.774964387392123,7.874007874011811,7.874007874011811
female,group C,master's degree,standard,completed,69,84,85,8.306623862918075,9.16515138991168,9.219544457292887
male,group D,associate's degree,standard,none,61,55,52,7.810249675906654,7.416198487095663,7.211102550927978
male,group C,some high school,free/reduced,completed,59,69,65,7.681145747868608,8.306623862918075,8.06225774829855
male,group E,high school,free/reduced,none,55,56,51,7.416198487095663,7.483314773547883,7.14142842854285
female,group B,some college,free/reduced,none,45,53,55,6.708203932499369,7.280109889280518,7.416198487095663
female,group B,bachelor's degree,free/reduced,none,78,79,76,8.831760866327848,8.888194417315589,8.717797887081348
female,group C,associate's degree,standard,completed,67,84,86,8.18535277187245,9.16515138991168,9.273618495495704
female,group D,some college,free/reduced,none,65,81,77,8.06225774829855,9.0,8.774964387392123
male,group C,associate's degree,standard,none,69,77,69,8.306623862918075,8.774964387392123,8.306623862918075
female,group B,associate's degree,standard,none,57,69,68,7.54983443527075,8.306623862918075,8.246211251235321
male,group C,some college,standard,none,59,41,42,7.681145747868608,6.4031242374328485,6.48074069840786
male,group D,some high school,standard,completed,74,71,78,8.602325267042627,8.426149773176359,8.831760866327848
male,group E,bachelor's degree,standard,none,82,62,62,9.055385138137417,7.874007874011811,7.874007874011811
male,group E,high school,standard,completed,81,80,76,9.0,8.94427190999916,8.717797887081348
female,group B,some college,free/reduced,none,74,81,76,8.602325267042627,9.0,8.717797887081348
female,group B,some college,free/reduced,none,58,61,66,7.615773105863909,7.810249675906654,8.12403840463596
male,group D,some high school,free/reduced,completed,80,79,79,8.94427190999916,8.888194417315589,8.888194417315589
male,group C,some college,free/reduced,none,35,28,27,5.916079783099616,5.291502622129181,5.196152422706632
female,group C,high school,free/reduced,none,42,62,60,6.48074069840786,7.874007874011811,7.745966692414834
male,group C,associate's degree,free/reduced,completed,60,51,56,7.745966692414834,7.14142842854285,7.483314773547883
male,group E,high school,standard,completed,87,91,81,9.327379053088816,9.539392014169456,9.0
male,group B,some high school,standard,completed,84,83,75,9.16515138991168,9.1104335791443,8.660254037844387
female,group E,associate's degree,free/reduced,completed,83,86,88,9.1104335791443,9.273618495495704,9.38083151964686
female,group C,high school,free/reduced,none,34,42,39,5.830951894845301,6.48074069840786,6.244997998398398
male,group B,high school,free/reduced,none,66,77,70,8.12403840463596,8.774964387392123,8.366600265340756
male,group B,some high school,standard,completed,61,56,56,7.810249675906654,7.483314773547883,7.483314773547883
female,group D,high school,standard,completed,56,68,74,7.483314773547883,8.246211251235321,8.602325267042627
male,group B,associate's degree,standard,none,87,85,73,9.327379053088816,9.219544457292887,8.54400374531753
female,group C,some high school,free/reduced,none,55,65,62,7.416198487095663,8.06225774829855,7.874007874011811
male,group D,some high school,standard,none,86,80,75,9.273618495495704,8.94427190999916,8.660254037844387
female,group B,associate's degree,standard,completed,52,66,73,7.211102550927978,8.12403840463596,8.54400374531753
female,group E,master's degree,free/reduced,none,45,56,54,6.708203932499369,7.483314773547883,7.3484692283495345
female,group C,some college,standard,none,72,72,71,8.48528137423857,8.48528137423857,8.426149773176359
male,group D,high school,standard,none,57,50,54,7.54983443527075,7.0710678118654755,7.3484692283495345
male,group A,some high school,free/reduced,none,68,72,64,8.246211251235321,8.48528137423857,8.0
female,group C,some college,standard,completed,88,95,94,9.38083151964686,9.746794344808963,9.695359714832659
male,group D,some college,standard,none,76,64,66,8.717797887081348,8.0,8.12403840463596
male,group C,associate's degree,standard,none,46,43,42,6.782329983125268,6.557438524302,6.48074069840786
female,group B,bachelor's degree,standard,none,67,86,83,8.18535277187245,9.273618495495704,9.1104335791443
male,group E,some high school,standard,none,92,87,78,9.591663046625438,9.327379053088816,8.831760866327848
male,group C,bachelor's degree,standard,completed,83,82,84,9.1104335791443,9.055385138137417,9.16515138991168
male,group D,associate's degree,standard,none,80,75,77,8.94427190999916,8.660254037844387,8.774964387392123
male,group D,bachelor's degree,free/reduced,none,63,66,67,7.937253933193772,8.12403840463596,8.18535277187245
female,group D,some high school,standard,completed,64,60,74,8.0,7.745966692414834,8.602325267042627
male,group B,some college,standard,none,54,52,51,7.3484692283495345,7.211102550927978,7.14142842854285
male,group C,associate's degree,standard,none,84,80,80,9.16515138991168,8.94427190999916,8.94427190999916
male,group D,high school,free/reduced,completed,73,68,66,8.54400374531753,8.246211251235321,8.12403840463596
female,group E,bachelor's degree,standard,none,80,83,83,8.94427190999916,9.1104335791443,9.1104335791443
female,group D,high school,standard,none,56,52,55,7.483314773547883,7.211102550927978,7.416198487095663
male,group E,some college,standard,none,59,51,43,7.681145747868608,7.14142842854285,6.557438524302
male,group D,some high school,standard,none,75,74,69,8.660254037844387,8.602325267042627,8.306623862918075
male,group C,associate's degree,standard,none,85,76,71,9.219544457292887,8.717797887081348,8.426149773176359
male,group E,associate's degree,standard,none,89,76,74,9.433981132056603,8.717797887081348,8.602325267042627
female,group B,high school,standard,completed,58,70,68,7.615773105863909,8.366600265340756,8.246211251235321
female,group B,high school,standard,none,65,64,62,8.06225774829855,8.0,7.874007874011811
male,group C,high school,standard,none,68,60,53,8.246211251235321,7.745966692414834,7.280109889280518
male,group A,some high school,standard,completed,47,49,49,6.855654600401044,7.0,7.0
female,group D,some college,free/reduced,none,71,83,83,8.426149773176359,9.1104335791443,9.1104335791443
female,group B,some high school,standard,completed,60,70,70,7.745966692414834,8.366600265340756,8.366600265340756
male,group D,master's degree,standard,none,80,80,72,8.94427190999916,8.94427190999916,8.48528137423857
male,group D,high school,standard,none,54,52,52,7.3484692283495345,7.211102550927978,7.211102550927978
female,group E,some college,standard,none,62,73,70,7.874007874011811,8.54400374531753,8.366600265340756
female,group C,associate's degree,free/reduced,none,64,73,68,8.0,8.54400374531753,8.246211251235321
male,group C,associate's degree,standard,completed,78,77,77,8.831760866327848,8.774964387392123,8.774964387392123
female,group B,some college,standard,none,70,75,78,8.366600265340756,8.660254037844387,8.831760866327848
female,group C,master's degree,free/reduced,completed,65,81,81,8.06225774829855,9.0,9.0
female,group C,some high school,free/reduced,completed,64,79,77,8.0,8.888194417315589,8.774964387392123
male,group C,some college,standard,completed,79,79,78,8.888194417315589,8.888194417315589,8.831760866327848
female,group C,some high school,free/reduced,none,44,50,51,6.6332495807108,7.0710678118654755,7.14142842854285
female,group E,high school,standard,none,99,93,90,9.9498743710662,9.643650760992955,9.486832980505138
male,group D,high school,standard,none,76,73,68,8.717797887081348,8.54400374531753,8.246211251235321
male,group D,some high school,free/reduced,none,59,42,41,7.681145747868608,6.48074069840786,6.4031242374328485
female,group C,bachelor's degree,standard,none,63,75,81,7.937253933193772,8.660254037844387,9.0
female,group D,high school,standard,none,69,72,77,8.306623862918075,8.48528137423857,8.774964387392123
female,group D,associate's degree,standard,completed,88,92,95,9.38083151964686,9.591663046625438,9.746794344808963
female,group E,some college,free/reduced,none,71,76,70,8.426149773176359,8.717797887081348,8.366600265340756
male,group C,bachelor's degree,standard,none,69,63,61,8.306623862918075,7.937253933193772,7.810249675906654
male,group C,some college,standard,none,58,49,42,7.615773105863909,7.0,6.48074069840786
female,group D,associate's degree,free/reduced,none,47,53,58,6.855654600401044,7.280109889280518,7.615773105863909
female,group D,some college,standard,none,65,70,71,8.06225774829855,8.366600265340756,8.426149773176359
male,group B,some college,standard,completed,88,85,76,9.38083151964686,9.219544457292887,8.717797887081348
male,group C,bachelor's degree,standard,none,83,78,73,9.1104335791443,8.831760866327848,8.54400374531753
female,group C,some high school,standard,completed,85,92,93,9.219544457292887,9.591663046625438,9.643650760992955
female,group E,high school,standard,completed,59,63,75,7.681145747868608,7.937253933193772,8.660254037844387
female,group C,some high school,free/reduced,none,65,86,80,8.06225774829855,9.273618495495704,8.94427190999916
male,group B,bachelor's degree,free/reduced,none,73,56,57,8.54400374531753,7.483314773547883,7.54983443527075
male,group D,high school,standard,none,53,52,42,7.280109889280518,7.211102550927978,6.48074069840786
male,group D,high school,standard,none,45,48,46,6.708203932499369,6.928203230275509,6.782329983125268
female,group D,bachelor's degree,free/reduced,none,73,79,84,8.54400374531753,8.888194417315589,9.16515138991168
female,group D,some college,free/reduced,completed,70,78,78,8.366600265340756,8.831760866327848,8.831760866327848
female,group B,some high school,standard,none,37,46,46,6.082762530298219,6.782329983125268,6.782329983125268
male,group B,associate's degree,standard,completed,81,82,82,9.0,9.055385138137417,9.055385138137417
male,group E,associate's degree,standard,completed,97,82,88,9.848857801796104,9.055385138137417,9.38083151964686
female,group B,some high school,standard,none,67,89,82,8.18535277187245,9.433981132056603,9.055385138137417
male,group B,bachelor's degree,free/reduced,none,88,75,76,9.38083151964686,8.660254037844387,8.717797887081348
male,group E,some high school,standard,completed,77,76,77,8.774964387392123,8.717797887081348,8.774964387392123
male,group C,associate's degree,standard,none,76,70,68,8.717797887081348,8.366600265340756,8.246211251235321
male,group D,some high school,standard,none,86,73,70,9.273618495495704,8.54400374531753,8.366600265340756
male,group C,some high school,standard,completed,63,60,57,7.937253933193772,7.745966692414834,7.54983443527075
female,group E,bachelor's degree,standard,none,65,73,75,8.06225774829855,8.54400374531753,8.660254037844387
male,group D,high school,free/reduced,completed,78,77,80,8.831760866327848,8.774964387392123,8.94427190999916
male,group B,associate's degree,free/reduced,none,67,62,60,8.18535277187245,7.874007874011811,7.745966692414834
male,group A,some high school,standard,completed,46,41,43,6.782329983125268,6.4031242374328485,6.557438524302
male,group E,associate's degree,standard,completed,71,74,68,8.426149773176359,8.602325267042627,8.246211251235321
male,group C,high school,free/reduced,completed,40,46,50,6.324555320336759,6.782329983125268,7.0710678118654755
male,group D,associate's degree,free/reduced,none,90,87,75,9.486832980505138,9.327379053088816,8.660254037844387
male,group A,some college,free/reduced,completed,81,78,81,9.0,8.831760866327848,9.0
male,group D,some high school,free/reduced,none,56,54,52,7.483314773547883,7.3484692283495345,7.211102550927978
female,group C,associate's degree,standard,completed,67,84,81,8.18535277187245,9.16515138991168,9.0
male,group B,associate's degree,standard,none,80,76,64,8.94427190999916,8.717797887081348,8.0
female,group C,associate's degree,standard,completed,74,75,83,8.602325267042627,8.660254037844387,9.1104335791443
male,group A,some college,standard,none,69,67,69,8.306623862918075,8.18535277187245,8.306623862918075
