gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,math_score_log,reading_score_log,writing_score_log
male,group E,some college,standard,none,97,87,82,4.584967478670572,4.477336814478207,4.418840607796598
male,group E,associate's degree,standard,completed,81,81,79,4.406719247264253,4.406719247264253,4.382026634673881
female,group D,associate's degree,standard,none,74,81,83,4.31748811353631,4.406719247264253,4.430816798843313
female,group D,some high school,free/reduced,none,50,64,59,3.9318256327243257,4.174387269895637,4.0943445622221
female,group D,associate's degree,free/reduced,completed,75,90,88,4.330733340286331,4.51085950651685,4.48863636973214
male,group B,associate's degree,free/reduced,none,57,56,57,4.060443010546419,4.04305126783455,4.060443010546419
male,group C,associate's degree,free/reduced,none,55,61,54,4.02535169073515,4.127134385045092,4.007333185232471
female,group C,associate's degree,standard,none,58,73,68,4.07753744390572,4.30406509320417,4.23410650459726
female,group B,associate's degree,standard,none,53,58,65,3.9889840465642745,4.07753744390572,4.189654742026425
male,group B,some college,free/reduced,completed,59,65,66,4.0943445622221,4.189654742026425,4.204692619390966
female,group E,associate's degree,free/reduced,none,50,56,54,3.9318256327243257,4.04305126783455,4.007333185232471
male,group B,associate's degree,standard,none,65,54,57,4.189654742026425,4.007333185232471,4.060443010546419
female,group A,associate's degree,standard,completed,55,65,62,4.02535169073515,4.189654742026425,4.143134726391533
female,group C,high school,standard,none,66,71,76,4.204692619390966,4.276666119016055,4.343805421853684
female,group D,associate's degree,free/reduced,completed,57,74,76,4.060443010546419,4.31748811353631,4.343805421853684
male,group C,high school,standard,completed,82,84,82,4.418840607796598,4.442651256490317,4.418840607796598
male,group E,some college,standard,none,53,55,48,3.9889840465642745,4.02535169073515,3.8918202981106265
male,group E,associate's degree,free/reduced,completed,77,69,68,4.356708826689592,4.248495242049359,4.23410650459726
male,group C,some college,standard,none,53,44,42,3.9889840465642745,3.8066624897703196,3.7612001156935624
male,group D,high school,standard,none,88,78,75,4.48863636973214,4.3694478524670215,4.330733340286331
female,group C,some high school,free/reduced,completed,71,84,87,4.276666119016055,4.442651256490317,4.477336814478207
female,group C,high school,free/reduced,none,33,41,43,3.5263605246161616,3.7376696182833684,3.784189633918261
female,group E,associate's degree,standard,completed,82,85,86,4.418840607796598,4.454347296253507,4.465908118654584
male,group D,associate's degree,standard,none,52,55,49,3.970291913552122,4.02535169073515,3.912023005428146
male,group D,some college,standard,completed,58,59,58,4.07753744390572,4.0943445622221,4.07753744390572
female,group C,some high school,free/reduced,none,0,17,10,0.0,2.8903717578961645,2.3978952727983707
male,group E,bachelor's degree,free/reduced,completed,79,74,72,4.382026634673881,4.31748811353631,4.290459441148391
male,group A,some high school,free/reduced,none,39,39,34,3.6888794541139363,3.6888794541139363,3.5553480614894135
male,group A,associate's degree,free/reduced,none,62,61,55,4.143134726391533,4.127134385045092,4.02535169073515
female,group C,associate's degree,standard,none,69,80,71,4.248495242049359,4.394449154672439,4.276666119016055
female,group D,some high school,standard,none,59,58,59,4.0943445622221,4.07753744390572,4.0943445622221
male,group B,some high school,standard,none,67,64,61,4.219507705176107,4.174387269895637,4.127134385045092
male,group D,some high school,free/reduced,none,45,37,37,3.828641396489095,3.6375861597263857,3.6375861597263857
female,group C,some college,standard,none,60,72,74,4.110873864173311,4.290459441148391,4.31748811353631
male,group B,associate's degree,free/reduced,none,61,58,56,4.127134385045092,4.07753744390572,4.04305126783455
female,group C,associate's degree,standard,none,39,64,57,3.6888794541139363,4.174387269895637,4.060443010546419
female,group D,some college,free/reduced,completed,58,63,73,4.07753744390572,4.1588830833596715,4.30406509320417
male,group D,some college,standard,completed,63,55,63,4.1588830833596715,4.02535169073515,4.1588830833596715
female,group A,associate's degree,free/reduced,none,41,51,48,3.7376696182833684,3.9512437185814275,3.8918202981106265
male,group C,some high school,free/reduced,none,61,57,56,4.127134385045092,4.060443010546419,4.04305126783455
male,group C,some high school,standard,none,49,49,41,3.912023005428146,3.912023005428146,3.7376696182833684
male,group B,associate's degree,free/reduced,none,44,41,38,3.8066624897703196,3.7376696182833684,3.6635616461296463
male,group E,some high school,standard,none,30,26,22,3.4339872044851463,3.295836866004329,3.1354942159291497
male,group A,bachelor's degree,standard,completed,80,78,81,4.394449154672439,4.3694478524670215,4.406719247264253
female,group D,some high school,standard,completed,61,74,72,4.127134385045092,4.31748811353631,4.290459441148391
female,group E,master's degree,standard,none,62,68,68,4.143134726391533,4.23410650459726,4.23410650459726
female,group B,associate's degree,standard,none,47,49,50,3.871201010907891,3.912023005428146,3.9318256327243257
male,group B,high school,free/reduced,none,49,45,45,3.912023005428146,3.828641396489095,3.828641396489095
male,group A,some college,free/reduced,completed,50,47,54,3.9318256327243257,3.871201010907891,4.007333185232471
male,group E,associate's degree,standard,none,72,64,63,4.290459441148391,4.174387269895637,4.1588830833596715
male,group D,high school,free/reduced,none,42,39,34,3.7612001156935624,3.6888794541139363,3.5553480614894135
female,group C,some college,standard,none,73,80,82,4.30406509320417,4.394449154672439,4.418840607796598
female,group C,some college,free/reduced,none,76,83,88,4.343805421853684,4.430816798843313,4.48863636973214
female,group D,associate's degree,standard,none,71,71,74,4.276666119016055,4.276666119016055,4.31748811353631
female,group A,some college,standard,none,58,70,67,4.07753744390572,4.2626798770413155,4.219507705176107
female,group D,some high school,standard,none,73,86,82,4.30406509320417,4.465908118654584,4.418840607796598
female,group C,bachelor's degree,standard,none,65,72,74,4.189654742026425,4.290459441148391,4.31748811353631
male,group C,high school,free/reduced,none,27,34,36,3.332204510175204,3.5553480614894135,3.6109179126442243
male,group C,high school,standard,none,71,79,71,4.276666119016055,4.382026634673881,4.276666119016055
male,group C,associate's degree,free/reduced,completed,43,45,50,3.784189633918261,3.828641396489095,3.9318256327243257
female,group B,some college,standard,none,79,86,92,4.382026634673881,4.465908118654584,4.532599493153256
male,group C,associate's degree,free/reduced,completed,78,81,82,4.3694478524670215,4.406719247264253,4.418840607796598
male,group B,some high school,standard,completed,65,66,62,4.189654742026425,4.204692619390966,4.143134726391533
female,group E,some college,standard,completed,63,72,70,4.1588830833596715,4.290459441148391,4.2626798770413155
female,group D,some college,free/reduced,none,58,67,62,4.07753744390572,4.219507705176107,4.143134726391533
female,group D,bachelor's degree,standard,none,65,67,62,4.189654742026425,4.219507705176107,4.143134726391533
male,group B,some college,standard,none,79,67,67,4.382026634673881,4.219507705176107,4.219507705176107
male,group D,bachelor's degree,standard,completed,68,74,74,4.23410650459726,4.31748811353631,4.31748811353631
female,group D,associate's degree,standard,none,85,91,89,4.454347296253507,4.5217885770490405,4.499809670330265
male,group B,high school,standard,completed,60,44,47,4.110873864173311,3.8066624897703196,3.871201010907891
male,group C,some college,standard,completed,98,86,90,4.59511985013459,4.465908118654584,4.51085950651685
female,group C,some college,standard,none,58,67,72,4.07753744390572,4.219507705176107,4.290459441148391
female,group D,master's degree,standard,none,87,100,100,4.477336814478207,4.61512051684126,4.61512051684126
male,group E,associate's degree,standard,completed,66,63,64,4.204692619390966,4.1588830833596715,4.174387269895637
female,group B,associate's degree,free/reduced,none,52,76,70,3.970291913552122,4.343805421853684,4.2626798770413155
female,group B,some high school,standard,none,70,64,72,4.2626798770413155,4.174387269895637,4.290459441148391
female,group D,associate's degree,free/reduced,completed,77,89,98,4.356708826689592,4.499809670330265,4.59511985013459
male,group C,high school,standard,none,62,55,49,4.143134726391533,4.02535169073515,3.912023005428146
male,group A,associate's degree,standard,none,54,53,47,4.007333185232471,3.9889840465642745,3.871201010907891
female,group D,some college,standard,none,51,58,54,3.9512437185814275,4.07753744390572,4.007333185232471
female,group E,bachelor's degree,standard,completed,99,100,100,4.605170185988092,4.61512051684126,4.61512051684126
male,group C,high school,standard,none,84,77,74,4.442651256490317,4.356708826689592,4.31748811353631
female,group B,bachelor's degree,free/reduced,none,75,85,82,4.330733340286331,4.454347296253507,4.418840607796598
female,group D,bachelor's degree,standard,none,78,82,79,4.3694478524670215,4.418840607796598,4.382026634673881
female,group D,some high school,standard,none,51,63,61,3.9512437185814275,4.1588830833596715,4.127134385045092
female,group C,some college,standard,none,55,69,65,4.02535169073515,4.248495242049359,4.189654742026425
female,group C,bachelor's degree,standard,completed,79,92,89,4.382026634673881,4.532599493153256,4.499809670330265
male,group B,associate's degree,standard,completed,91,89,92,4.5217885770490405,4.499809670330265,4.532599493153256
female,group C,some college,standard,completed,88,93,93,4.48863636973214,4.543294782270004,4.543294782270004
male,group D,high school,free/reduced,none,63,57,56,4.1588830833596715,4.060443010546419,4.04305126783455
male,group E,some college,standard,none,83,80,73,4.430816798843313,4.394449154672439,4.30406509320417
female,group B,high school,standard,none,87,95,86,4.477336814478207,4.564348191467836,4.465908118654584
male,group B,some high school,standard,none,72,68,67,4.290459441148391,4.23410650459726,4.219507705176107
male,group D,some college,standard,completed,65,77,74,4.189654742026425,4.356708826689592,4.31748811353631
male,group D,master's degree,standard,none,82,82,74,4.418840607796598,4.418840607796598,4.31748811353631
female,group A,bachelor's degree,standard,none,51,49,51,3.9512437185814275,3.912023005428146,3.9512437185814275
male,group D,master's degree,standard,none,89,84,82,4.499809670330265,4.442651256490317,4.418840607796598
male,group C,some high school,free/reduced,completed,53,37,40,3.9889840465642745,3.6375861597263857,3.713572066704308
male,group E,some college,free/reduced,completed,87,74,70,4.477336814478207,4.31748811353631,4.2626798770413155
female,group C,some college,standard,completed,75,81,84,4.330733340286331,4.406719247264253,4.442651256490317
male,group D,bachelor's degree,free/reduced,completed,74,79,75,4.31748811353631,4.382026634673881,4.330733340286331
male,group C,bachelor's degree,standard,none,58,55,48,4.07753744390572,4.02535169073515,3.8918202981106265
male,group B,some high school,standard,completed,51,54,41,3.9512437185814275,4.007333185232471,3.7376696182833684
male,group E,high school,standard,none,70,55,56,4.2626798770413155,4.02535169073515,4.04305126783455
female,group C,associate's degree,standard,none,59,66,67,4.0943445622221,4.204692619390966,4.219507705176107
male,group D,some college,standard,completed,71,61,69,4.276666119016055,4.127134385045092,4.248495242049359
female,group D,some high school,standard,none,76,72,71,4.343805421853684,4.290459441148391,4.276666119016055
female,group C,some college,free/reduced,none,59,62,64,4.0943445622221,4.143134726391533,4.174387269895637
female,group E,some college,free/reduced,completed,42,55,54,3.7612001156935624,4.02535169073515,4.007333185232471
male,group A,high school,standard,none,57,43,47,4.060443010546419,3.784189633918261,3.871201010907891
male,group D,some college,standard,none,88,73,78,4.48863636973214,4.30406509320417,4.3694478524670215
female,group C,some college,free/reduced,none,22,39,33,3.1354942159291497,3.6888794541139363,3.5263605246161616
male,group B,some high school,standard,none,88,84,75,4.48863636973214,4.442651256490317,4.330733340286331
male,group C,associate's degree,free/reduced,none,73,68,66,4.30406509320417,4.23410650459726,4.204692619390966
female,group D,bachelor's degree,standard,completed,68,75,81,4.23410650459726,4.330733340286331,4.406719247264253
male,group E,associate's degree,free/reduced,completed,100,100,93,4.61512051684126,4.61512051684126,4.543294782270004
male,group A,some high school,standard,completed,62,67,69,4.143134726391533,4.219507705176107,4.248495242049359
male,group A,bachelor's degree,standard,none,77,67,68,4.356708826689592,4.219507705176107,4.23410650459726
female,group B,associate's degree,standard,completed,59,70,66,4.0943445622221,4.2626798770413155,4.204692619390966
male,group D,bachelor's degree,standard,none,54,49,47,4.007333185232471,3.912023005428146,3.871201010907891
male,group D,some high school,standard,none,62,67,61,4.143134726391533,4.219507705176107,4.127134385045092
female,group C,some college,standard,completed,70,89,88,4.2626798770413155,4.499809670330265,4.48863636973214
female,group E,high school,free/reduced,completed,66,74,78,4.204692619390966,4.31748811353631,4.3694478524670215
male,group B,some college,free/reduced,none,60,60,60,4.110873864173311,4.110873864173311,4.110873864173311
female,group B,associate's degree,standard,completed,61,86,87,4.127134385045092,4.465908118654584,4.477336814478207
male,group D,associate's degree,free/reduced,none,66,62,64,4.204692619390966,4.143134726391533,4.174387269895637
male,group B,associate's degree,free/reduced,completed,82,78,74,4.418840607796598,4.3694478524670215,4.31748811353631
female,group E,some college,free/reduced,completed,75,88,85,4.330733340286331,4.48863636973214,4.454347296253507
male,group B,master's degree,free/reduced,none,49,53,52,3.912023005428146,3.9889840465642745,3.970291913552122
male,group C,high school,standard,none,52,53,49,3.970291913552122,3.9889840465642745,3.912023005428146
female,group E,master's degree,standard,none,81,92,91,4.406719247264253,4.532599493153256,4.5217885770490405
female,group C,bachelor's degree,standard,completed,96,100,100,4.574710978503383,4.61512051684126,4.61512051684126
male,group C,high school,free/reduced,completed,53,51,51,3.9889840465642745,3.9512437185814275,3.9512437185814275
female,group B,master's degree,free/reduced,completed,58,76,78,4.07753744390572,4.343805421853684,4.3694478524670215
female,group B,high school,standard,completed,68,83,78,4.23410650459726,4.430816798843313,4.3694478524670215
female,group C,some college,free/reduced,completed,67,75,70,4.219507705176107,4.330733340286331,4.2626798770413155
male,group A,high school,standard,completed,72,73,74,4.290459441148391,4.30406509320417,4.31748811353631
male,group E,some high school,standard,none,94,88,78,4.553876891600541,4.48863636973214,4.3694478524670215
female,group D,some college,standard,none,79,86,81,4.382026634673881,4.465908118654584,4.406719247264253
female,group C,associate's degree,standard,none,63,67,70,4.1588830833596715,4.219507705176107,4.2626798770413155
female,group C,bachelor's degree,free/reduced,completed,43,51,54,3.784189633918261,3.9512437185814275,4.007333185232471
female,group C,master's degree,standard,completed,81,91,87,4.406719247264253,4.5217885770490405,4.477336814478207
female,group B,high school,free/reduced,completed,46,54,58,3.8501476017100584,4.007333185232471,4.07753744390572
female,group C,associate's degree,standard,completed,71,77,77,4.276666119016055,4.356708826689592,4.356708826689592
female,group B,master's degree,free/reduced,completed,52,70,62,3.970291913552122,4.2626798770413155,4.143134726391533
female,group D,some high school,standard,completed,97,100,100,4.584967478670572,4.61512051684126,4.61512051684126
male,group C,master's degree,free/reduced,completed,62,68,75,4.143134726391533,4.23410650459726,4.330733340286331
female,group C,some college,free/reduced,none,46,64,66,3.8501476017100584,4.174387269895637,4.204692619390966
female,group E,high school,standard,none,50,50,47,3.9318256327243257,3.9318256327243257,3.871201010907891
female,group D,associate's degree,standard,none,65,69,70,4.189654742026425,4.248495242049359,4.2626798770413155
male,group C,some high school,free/reduced,completed,45,52,49,3.828641396489095,3.970291913552122,3.912023005428146
male,group C,associate's degree,free/reduced,completed,65,67,65,4.189654742026425,4.219507705176107,4.189654742026425
male,group E,high school,standard,none,80,76,65,4.394449154672439,4.343805421853684,4.189654742026425
male,group D,some high school,standard,completed,62,66,68,4.143134726391533,4.204692619390966,4.23410650459726
male,group B,some high school,free/reduced,none,48,52,45,3.8918202981106265,3.970291913552122,3.828641396489095
female,group C,bachelor's degree,standard,none,77,88,87,4.356708826689592,4.48863636973214,4.477336814478207
female,group E,associate's degree,standard,none,66,65,69,4.204692619390966,4.189654742026425,4.248495242049359
male,group D,some college,standard,completed,76,83,79,4.343805421853684,4.430816798843313,4.382026634673881
female,group B,some high school,standard,none,62,64,66,4.143134726391533,4.174387269895637,4.204692619390966
male,group D,some college,standard,completed,77,62,62,4.356708826689592,4.143134726391533,4.143134726391533
female,group C,master's degree,standard,completed,69,84,85,4.248495242049359,4.442651256490317,4.454347296253507
male,group D,associate's degree,standard,none,61,55,52,4.127134385045092,4.02535169073515,3.970291913552122
male,group C,some high school,free/reduced,completed,59,69,65,4.0943445622221,4.248495242049359,4.189654742026425
male,group E,high school,free/reduced,none,55,56,51,4.02535169073515,4.04305126783455,3.9512437185814275
female,group B,some college,free/reduced,none,45,53,55,3.828641396489095,3.9889840465642745,4.02535169073515
female,group B,bachelor's degree,free/reduced,none,78,79,76,4.3694478524670215,4.382026634673881,4.343805421853684
female,group C,associate's degree,standard,completed,67,84,86,4.219507705176107,4.442651256490317,4.465908118654584
female,group D,some college,free/reduced,none,65,81,77,4.189654742026425,4.406719247264253,4.356708826689592
male,group C,associate's degree,standard,none,69,77,69,4.248495242049359,4.356708826689592,4.248495242049359
female,group B,associate's degree,standard,none,57,69,68,4.060443010546419,4.248495242049359,4.23410650459726
male,group C,some college,standard,none,59,41,42,4.0943445622221,3.7376696182833684,3.7612001156935624
male,group D,some high school,standard,completed,74,71,78,4.31748811353631,4.276666119016055,4.3694478524670215
male,group E,bachelor's degree,standard,none,82,62,62,4.418840607796598,4.143134726391533,4.143134726391533
male,group E,high school,standard,completed,81,80,76,4.406719247264253,4.394449154672439,4.343805421853684
female,group B,some college,free/reduced,none,74,81,76,4.31748811353631,4.406719247264253,4.343805421853684
female,group B,some college,free/reduced,none,58,61,66,4.07753744390572,4.127134385045092,4.204692619390966
male,group D,some high school,free/reduced,completed,80,79,79,4.394449154672439,4.382026634673881,4.382026634673881
male,group C,some college,free/reduced,none,35,28,27,3.58351893845611,3.367295829986474,3.332204510175204
female,group C,high school,free/reduced,none,42,62,60,3.7612001156935624,4.143134726391533,4.110873864173311
male,group C,associate's degree,free/reduced,completed,60,51,56,4.110873864173311,3.9512437185814275,4.04305126783455
male,group E,high school,standard,completed,87,91,81,4.477336814478207,4.5217885770490405,4.406719247264253
male,group B,some high school,standard,completed,84,83,75,4.442651256490317,4.430816798843313,4.330733340286331
female,group E,associate's degree,free/reduced,completed,83,86,88,4.430816798843313,4.465908118654584,4.48863636973214
female,group C,high school,free/reduced,none,34,42,39,3.5553480614894135,3.7612001156935624,3.6888794541139363
male,group B,high school,free/reduced,none,66,77,70,4.204692619390966,4.356708826689592,4.2626798770413155
male,group B,some high school,standard,completed,61,56,56,4.127134385045092,4.04305126783455,4.04305126783455
female,group D,high school,standard,completed,56,68,74,4.04305126783455,4.23410650459726,4.31748811353631
male,group B,associate's degree,standard,none,87,85,73,4.477336814478207,4.454347296253507,4.30406509320417
female,group C,some high school,free/reduced,none,55,65,62,4.02535169073515,4.189654742026425,4.143134726391533
male,group D,some high school,standard,none,86,80,75,4.465908118654584,4.394449154672439,4.330733340286331
female,group B,associate's degree,standard,completed,52,66,73,3.970291913552122,4.204692619390966,4.30406509320417
female,group E,master's degree,free/reduced,none,45,56,54,3.828641396489095,4.04305126783455,4.007333185232471
female,group C,some college,standard,none,72,72,71,4.290459441148391,4.290459441148391,4.276666119016055
male,group D,high school,standard,none,57,50,54,4.060443010546419,3.9318256327243257,4.007333185232471
male,group A,some high school,free/reduced,none,68,72,64,4.23410650459726,4.290459441148391,4.174387269895637
female,group C,some college,standard,completed,88,95,94,4.48863636973214,4.564348191467836,4.553876891600541
male,group D,some college,standard,none,76,64,66,4.343805421853684,4.174387269895637,4.204692619390966
male,group C,associate's degree,standard,none,46,43,42,3.8501476017100584,3.784189633918261,3.7612001156935624
female,group B,bachelor's degree,standard,none,67,86,83,4.219507705176107,4.465908118654584,4.430816798843313
male,group E,some high school,standard,none,92,87,78,4.532599493153256,4.477336814478207,4.3694478524670215
male,group C,bachelor's degree,standard,completed,83,82,84,4.430816798843313,4.418840607796598,4.442651256490317
male,group D,associate's degree,standard,none,80,75,77,4.394449154672439,4.330733340286331,4.356708826689592
male,group D,bachelor's degree,free/reduced,none,63,66,67,4.1588830833596715,4.204692619390966,4.219507705176107
female,group D,some high school,standard,completed,64,60,74,4.174387269895637,4.110873864173311,4.31748811353631
male,group B,some college,standard,none,54,52,51,4.007333185232471,3.970291913552122,3.9512437185814275
male,group C,associate's degree,standard,none,84,80,80,4.442651256490317,4.394449154672439,4.394449154672439
male,group D,high school,free/reduced,completed,73,68,66,4.30406509320417,4.23410650459726,4.204692619390966
female,group E,bachelor's degree,standard,none,80,83,83,4.394449154672439,4.430816798843313,4.430816798843313
female,group D,high school,standard,none,56,52,55,4.04305126783455,3.970291913552122,4.02535169073515
male,group E,some college,standard,none,59,51,43,4.0943445622221,3.9512437185814275,3.784189633918261
male,group D,some high school,standard,none,75,74,69,4.330733340286331,4.31748811353631,4.248495242049359
male,group C,associate's degree,standard,none,85,76,71,4.454347296253507,4.343805421853684,4.276666119016055
male,group E,associate's degree,standard,none,89,76,74,4.499809670330265,4.343805421853684,4.31748811353631
female,group B,high school,standard,completed,58,70,68,4.07753744390572,4.2626798770413155,4.23410650459726
female,group B,high school,standard,none,65,64,62,4.189654742026425,4.174387269895637,4.143134726391533
male,group C,high school,standard,none,68,60,53,4.23410650459726,4.110873864173311,3.9889840465642745
male,group A,some high school,standard,completed,47,49,49,3.871201010907891,3.912023005428146,3.912023005428146
female,group D,some college,free/reduced,none,71,83,83,4.276666119016055,4.430816798843313,4.430816798843313
female,group B,some high school,standard,completed,60,70,70,4.110873864173311,4.2626798770413155,4.2626798770413155
male,group D,master's degree,standard,none,80,80,72,4.394449154672439,4.394449154672439,4.290459441148391
male,group D,high school,standard,none,54,52,52,4.007333185232471,3.970291913552122,3.970291913552122
female,group E,some college,standard,none,62,73,70,4.143134726391533,4.30406509320417,4.2626798770413155
female,group C,associate's degree,free/reduced,none,64,73,68,4.174387269895637,4.30406509320417,4.23410650459726
male,group C,associate's degree,standard,completed,78,77,77,4.3694478524670215,4.356708826689592,4.356708826689592
female,group B,some college,standard,none,70,75,78,4.2626798770413155,4.330733340286331,4.3694478524670215
female,group C,master's degree,free/reduced,completed,65,81,81,4.189654742026425,4.406719247264253,4.406719247264253
female,group C,some high school,free/reduced,completed,64,79,77,4.174387269895637,4.382026634673881,4.356708826689592
male,group C,some college,standard,completed,79,79,78,4.382026634673881,4.382026634673881,4.3694478524670215
female,group C,some high school,free/reduced,none,44,50,51,3.8066624897703196,3.9318256327243257,3.9512437185814275
female,group E,high school,standard,none,99,93,90,4.605170185988092,4.543294782270004,4.51085950651685
male,group D,high school,standard,none,76,73,68,4.343805421853684,4.30406509320417,4.23410650459726
male,group D,some high school,free/reduced,none,59,42,41,4.0943445622221,3.7612001156935624,3.7376696182833684
female,group C,bachelor's degree,standard,none,63,75,81,4.1588830833596715,4.330733340286331,4.406719247264253
female,group D,high school,standard,none,69,72,77,4.248495242049359,4.290459441148391,4.356708826689592
female,group D,associate's degree,standard,completed,88,92,95,4.48863636973214,4.532599493153256,4.564348191467836
female,group E,some college,free/reduced,none,71,76,70,4.276666119016055,4.343805421853684,4.2626798770413155
male,group C,bachelor's degree,standard,none,69,63,61,4.248495242049359,4.1588830833596715,4.127134385045092
male,group C,some college,standard,none,58,49,42,4.07753744390572,3.912023005428146,3.7612001156935624
female,group D,associate's degree,free/reduced,none,47,53,58,3.871201010907891,3.9889840465642745,4.07753744390572
female,group D,some college,standard,none,65,70,71,4.189654742026425,4.2626798770413155,4.276666119016055
male,group B,some college,standard,completed,88,85,76,4.48863636973214,4.454347296253507,4.343805421853684
male,group C,bachelor's degree,standard,none,83,78,73,4.430816798843313,4.3694478524670215,4.30406509320417
female,group C,some high school,standard,completed,85,92,93,4.454347296253507,4.532599493153256,4.543294782270004
female,group E,high school,standard,completed,59,63,75,4.0943445622221,4.1588830833596715,4.330733340286331
female,group C,some high school,free/reduced,none,65,86,80,4.189654742026425,4.465908118654584,4.394449154672439
male,group B,bachelor's degree,free/reduced,none,73,56,57,4.30406509320417,4.04305126783455,4.060443010546419
male,group D,high school,standard,none,53,52,42,3.9889840465642745,3.970291913552122,3.7612001156935624
male,group D,high school,standard,none,45,48,46,3.828641396489095,3.8918202981106265,3.8501476017100584
female,group D,bachelor's degree,free/reduced,none,73,79,84,4.30406509320417,4.382026634673881,4.442651256490317
female,group D,some college,free/reduced,completed,70,78,78,4.2626798770413155,4.3694478524670215,4.3694478524670215
female,group B,some high school,standard,none,37,46,46,3.6375861597263857,3.8501476017100584,3.8501476017100584
male,group B,associate's degree,standard,completed,81,82,82,4.406719247264253,4.418840607796598,4.418840607796598
male,group E,associate's degree,standard,completed,97,82,88,4.584967478670572,4.418840607796598,4.48863636973214
female,group B,some high school,standard,none,67,89,82,4.219507705176107,4.499809670330265,4.418840607796598
male,group B,bachelor's degree,free/reduced,none,88,75,76,4.48863636973214,4.330733340286331,4.343805421853684
male,group E,some high school,standard,completed,77,76,77,4.356708826689592,4.343805421853684,4.356708826689592
male,group C,associate's degree,standard,none,76,70,68,4.343805421853684,4.2626798770413155,4.23410650459726
male,group D,some high school,standard,none,86,73,70,4.465908118654584,4.30406509320417,4.2626798770413155
male,group C,some high school,standard,completed,63,60,57,4.1588830833596715,4.110873864173311,4.060443010546419
female,group E,bachelor's degree,standard,none,65,73,75,4.189654742026425,4.30406509320417,4.330733340286331
male,group D,high school,free/reduced,completed,78,77,80,4.3694478524670215,4.356708826689592,4.394449154672439
male,group B,associate's degree,free/reduced,none,67,62,60,4.219507705176107,4.143134726391533,4.110873864173311
male,group A,some high school,standard,completed,46,41,43,3.8501476017100584,3.7376696182833684,3.784189633918261
